"","sat","tothrs","hsize","hsrank","hsperc","colgpa","athlete","female","white","black","gpaletter"
"1",1170,18,9.3999996,191,20.3,4,"FALSE","FALSE","TRUE","FALSE","A"
"2",810,14,1.1900001,42,35.3,1.78,"TRUE","FALSE","TRUE","FALSE","C"
"3",940,40,5.71,252,44.1,2.4200001,"FALSE","FALSE","TRUE","FALSE","C"
"4",1180,18,2.1400001,86,40.2,2.6099999,"FALSE","FALSE","TRUE","FALSE","B"
"5",880,78,3.1099999,161,51.8,1.84,"FALSE","FALSE","FALSE","FALSE","C"
"6",980,55,2.6800001,101,37.7,3.05,"FALSE","FALSE","TRUE","FALSE","B"
"7",1240,18,3.6700001,161,43.9,3,"FALSE","FALSE","TRUE","FALSE","B"
"8",1230,17,0.1,3,30,2,"FALSE","FALSE","TRUE","FALSE","C"
"9",1080,17,3.1800001,31,9.75,2,"TRUE","FALSE","TRUE","FALSE","C"
"10",1190,13,1.76,74,42,3.1500001,"FALSE","FALSE","TRUE","FALSE","B"
"11",960,106,3.8299999,66,17.2,2.4100001,"TRUE","FALSE","TRUE","FALSE","C"
"12",840,104,1.0700001,7,6.54,2.3900001,"FALSE","FALSE","TRUE","FALSE","C"
"13",1000,50,4.6300001,133,28.7,2.8399999,"FALSE","FALSE","TRUE","FALSE","B"
"14",1040,112,0.91000003,30,33,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
"15",1340,46,3.76,130,34.6,2.23,"FALSE","FALSE","TRUE","FALSE","C"
"16",880,85,3.8,71,18.7,2.8099999,"FALSE","FALSE","TRUE","FALSE","B"
"17",820,42,2.28,155,68,2.0899999,"TRUE","FALSE","TRUE","FALSE","C"
"18",1060,43,5.5100002,248,45,2.25,"FALSE","FALSE","TRUE","FALSE","C"
"19",730,50,4.8200002,273,56.6,1.9,"TRUE","FALSE","FALSE","TRUE","C"
"20",780,71,0.77999997,17,21.8,2.4000001,"TRUE","FALSE","TRUE","FALSE","C"
"21",1040,78,4.9200001,92,18.7,2.1600001,"FALSE","FALSE","TRUE","FALSE","C"
"22",940,19,1.85,41,22.2,2.47,"FALSE","FALSE","TRUE","FALSE","C"
"23",980,47,1.52,45,29.6,2,"TRUE","FALSE","FALSE","TRUE","C"
"24",1180,105,6.3699999,255,40,3,"TRUE","FALSE","TRUE","FALSE","B"
"25",1100,72,0.12,2,16.7,2.72,"FALSE","FALSE","TRUE","FALSE","B"
"26",1030,18,2.52,27,10.7,3.55,"FALSE","FALSE","TRUE","FALSE","A"
"27",910,15,1.27,28,22,2.8599999,"FALSE","FALSE","TRUE","FALSE","B"
"28",1060,42,0.13,1,7.69,2.04,"FALSE","FALSE","TRUE","FALSE","C"
"29",700,38,0.31999999,22,68.8,2.3900001,"TRUE","FALSE","TRUE","FALSE","C"
"30",900,18,2.54,69,27.2,3.1600001,"FALSE","FALSE","TRUE","FALSE","B"
"31",1090,29,2.02,121,59.9,1.03,"FALSE","FALSE","TRUE","FALSE","D"
"32",960,15,4.4699998,320,71.6,2.3299999,"TRUE","FALSE","FALSE","TRUE","C"
"33",890,37,1.24,50,40.3,2.45,"TRUE","FALSE","TRUE","FALSE","C"
"34",1240,47,5.3699999,31,5.77,3.6500001,"FALSE","FALSE","TRUE","FALSE","A"
"35",940,16,3.4200001,53,15.5,3.8099999,"FALSE","FALSE","TRUE","FALSE","A"
"36",820,40,5.71,344,60.2,2.25,"TRUE","FALSE","FALSE","FALSE","C"
"37",970,39,5.6599998,83,14.7,2.4100001,"TRUE","FALSE","TRUE","FALSE","C"
"38",790,17,5.9699998,72,12.1,2.8199999,"TRUE","FALSE","TRUE","FALSE","B"
"39",820,95,1.3099999,98,74.8,2.26,"TRUE","FALSE","TRUE","FALSE","C"
